Player,Turn Start Time (seconds)
1,0.044184
2,0.039852
1,0.042033
2,0.040874
1,0.037552
2,0.039976
1,0.051770
2,0.041653
1,0.044421
2,0.038107
1,0.164275
2,0.308505
1,0.217329
2,0.314128
1,1.153229
2,0.667244
1,0.278588
2,0.809775
1,0.881971
2,1.080357
1,0.311940
2,1.478700
1,1.077488
2,1.613988
1,0.484462
2,0.644539
1,0.366246
2,0.986546
1,0.443053
2,0.867676
1,1.102251
2,0.552337
1,0.590937
2,0.649548
1,1.349818
2,0.462569
1,0.318847
2,0.368575
1,0.234020
2,0.984911
1,1.259248
2,0.671054
1,1.678695
2,1.184606
1,1.169284
2,0.331021
1,0.217899
2,0.742955
1,0.375793
2,1.104103
1,0.369825
2,0.696524
1,0.277152
2,0.502333
1,0.321887
2,0.316327
1,0.299866
2,0.230750
1,0.544617
2,0.248832
1,0.487877
2,0.003332
1,0.044911
2,0.045847
1,0.045185
2,0.042263
1,0.042395
2,0.040741
1,0.036196
2,0.038002
1,0.043813
2,0.040735
1,0.170594
2,0.262237
1,0.597267
2,0.317776
1,0.872537
2,1.234186
1,1.208689
2,0.420586
1,1.833705
2,1.113415
1,0.488051
2,0.673100
1,0.460590
2,0.669484
1,0.798260
2,1.235875
1,0.716372
2,0.487554
1,0.801186
2,0.515150
1,0.370498
2,0.552765
1,1.208684
2,1.029967
1,0.625884
2,0.587240
1,0.406388
2,0.807730
1,1.248816
2,1.005225
1,0.639021
2,0.452005
1,0.472121
2,0.802618
1,0.709137
2,0.388642
1,0.221915
2,0.353085
1,0.334738
2,0.241853
1,0.989168
2,0.198009
1,1.116570
2,0.352337
1,0.788615
2,0.612734
1,0.307938
2,0.235461
1,0.615181
2,0.532656
1,0.810996
2,0.469389
1,0.344295
2,0.014838
1,0.043006
2,0.050117
1,0.035550
2,0.041342
1,0.037090
2,0.035827
1,0.040366
2,0.038405
1,0.041673
2,0.037900
1,0.169702
2,0.243822
1,0.616107
2,0.317512
1,0.845759
2,1.242613
1,1.244842
2,0.457828
1,1.758070
2,1.200749
1,0.482386
2,0.652979
1,0.464699
2,0.662873
1,0.813642
2,1.220381
1,0.675550
2,0.500664
1,0.818101
2,0.513155
1,0.364843
2,0.548066
1,1.176878
2,1.013385
1,0.629197
2,0.574702
1,0.394788
2,0.766916
1,1.164310
2,1.004637
1,0.647719
2,0.445535
1,0.451591
2,0.832422
1,0.697971
2,0.362588
1,0.213100
2,0.357503
1,0.351567
2,0.251728
1,0.991944
2,0.195879
1,1.142976
2,0.353362
1,0.806449
2,0.627717
1,0.331617
2,0.225541
1,0.639596
2,0.494291
1,0.827595
2,0.484788
1,0.341446
2,0.019705
1,0.048412
2,0.043564
1,0.041945
2,0.038825
1,0.042848
2,0.040701
1,0.038802
2,0.040082
1,0.039103
2,0.038932
1,0.144006
2,0.395956
1,0.307117
2,1.033202
1,0.928920
2,0.326216
1,0.385489
2,0.744251
1,0.306877
2,1.091420
1,0.241065
2,0.625980
1,0.401088
2,1.943019
1,0.273360
2,0.693259
1,1.910478
2,0.906276
1,0.871513
2,1.116714
1,0.528885
2,1.288873
1,0.254323
2,1.772004
1,1.908573
2,0.694154
1,2.194138
2,2.156809
1,0.451340
2,1.641983
1,0.892609
2,1.350498
1,0.686301
2,1.262173
1,0.155853
2,0.442200
1,0.003072
1,0.041975
2,0.049816
1,0.045085
2,0.042086
1,0.041466
2,0.043741
1,0.041374
2,0.035660
1,0.041250
2,0.044705
1,0.194058
2,0.424164
1,0.361895
2,1.156752
1,0.535968
2,0.757749
1,0.393365
2,1.220989
1,0.818204
2,1.158956
1,0.376898
2,0.224509
1,1.032977
2,0.498691
1,0.374806
2,0.373408
1,0.455758
2,0.695277
1,0.340785
2,0.477856
1,0.388406
2,1.371489
1,0.338527
2,0.355844
1,1.553768
2,0.315095
1,2.126709
2,0.257188
1,1.851743
2,0.762460
1,0.891568
2,0.192749
1,1.756688
2,0.501295
1,0.941942
2,0.992244
1,1.291671
2,0.551982
1,1.996540
2,1.817040
1,1.459298
2,0.570739
1,0.718277
2,1.227621
1,1.423191
2,1.157591
1,1.545327
2,1.262351
1,1.260805
2,0.743460
1,0.233443
2,1.271310
1,1.278929
2,0.882128
1,0.003327
1,0.043744
2,0.048303
1,0.049457
2,0.045517
1,0.039310
2,0.040947
1,0.043788
2,0.046183
1,0.043878
2,0.037277
1,0.168605
2,0.271089
1,0.586836
2,0.316256
1,0.902586
2,1.340682
1,1.282190
2,0.464596
1,1.768187
2,1.182762
1,0.473232
2,0.640126
1,0.460872
2,0.670866
1,0.839200
2,1.204658
1,0.685620
2,0.466864
1,0.833407
2,0.498426
1,0.372645
2,0.574359
1,1.176486
2,0.992308
1,0.639806
2,0.573462
1,0.377571
2,0.770586
1,1.188137
2,1.028167
1,0.621618
2,0.429250
1,0.458376
2,0.811465
1,0.685137
2,0.380857
1,0.201248
2,0.353565
1,0.341897
2,0.252624
1,0.966775
2,0.205603
1,1.145722
2,0.342902
1,0.812858
2,0.601778
1,0.296389
2,0.203994
1,0.618977
2,0.500085
1,0.782882
2,0.864279
1,0.334355
2,0.020756
