Player,Turn Start Time (seconds)
1,0.047540
2,0.037801
1,0.042358
2,0.046840
1,0.038537
2,0.042662
1,0.039391
2,0.040137
1,0.038758
2,0.042774
1,0.047409
2,0.055079
1,0.047620
2,0.058734
1,0.061289
2,0.045780
1,0.061264
2,0.052267
1,0.057934
2,0.060046
1,0.058801
2,0.052863
1,0.063701
2,0.060238
1,0.055924
2,0.062014
1,0.061838
2,0.064854
1,0.064067
2,0.072088
1,0.053878
2,0.046053
1,0.069306
2,0.058009
1,0.053233
2,0.044281
1,0.054976
2,0.044291
1,0.051206
2,0.041245
1,0.061456
2,0.003208
1,0.053039
2,0.038359
1,0.053929
2,0.049895
1,0.062197
2,0.045311
1,0.066818
2,0.037048
1,0.070895
2,0.043883
1,0.046575
2,0.042150
1,0.040005
2,0.040169
1,0.042746
2,0.040512
1,0.033648
2,0.041533
1,0.044639
2,0.041365
1,0.030261
2,0.048449
1,0.037873
2,0.058732
1,0.052210
2,0.051193
1,0.047337
2,0.051689
1,0.047705
2,0.057572
1,0.050464
2,0.054688
1,0.063243
2,0.062619
1,0.045454
2,0.058214
1,0.058575
2,0.062827
1,0.059815
2,0.056541
1,0.053958
2,0.053809
1,0.056792
2,0.052624
1,0.050623
2,0.044299
1,0.043618
2,0.046848
1,0.048300
2,0.049104
1,0.044478
2,0.002935
1,0.056955
2,0.034057
1,0.054291
2,0.040871
1,0.050559
2,0.047094
1,0.059273
2,0.032082
1,0.049342
2,0.039049
1,0.047899
2,0.028605
1,0.043358
2,0.039420
1,0.045707
2,0.043994
1,0.045385
2,0.038520
1,0.038924
2,0.037301
1,0.037138
2,0.045352
1,0.041159
2,0.056246
1,0.041704
2,0.060524
1,0.047539
2,0.065442
1,0.053584
2,0.065059
1,0.054197
2,0.066934
1,0.048384
2,0.072406
1,0.060608
2,0.081841
1,0.056811
2,0.080640
1,0.057514
2,0.071025
1,0.045590
2,0.075194
1,0.060665
2,0.061610
1,0.048925
2,0.076338
1,0.038719
2,0.066259
1,0.040707
2,0.065697
1,0.046350
2,0.064945
1,0.050059
2,0.052504
1,0.045861
2,0.068896
1,0.049589
2,0.069060
1,0.002949
1,0.047519
2,0.046188
1,0.040595
2,0.039642
1,0.041978
2,0.041964
1,0.039175
2,0.045976
1,0.045442
2,0.036508
1,0.040578
2,0.052117
1,0.035660
2,0.060425
1,0.067762
2,0.038901
1,0.066352
2,0.050470
1,0.052670
2,0.059973
1,0.055218
2,0.062047
1,0.056639
2,0.065537
1,0.052349
2,0.058516
1,0.057607
2,0.063351
1,0.056410
2,0.064260
1,0.057977
2,0.046818
1,0.058277
2,0.052462
1,0.064686
2,0.043490
1,0.052971
2,0.048601
1,0.062386
2,0.049756
1,0.054241
2,0.003189
1,0.072104
2,0.045812
1,0.046382
2,0.044091
1,0.060879
2,0.034933
1,0.069578
2,0.037284
1,0.072367
2,0.051211
1,0.038451
2,0.042615
1,0.041879
2,0.040970
1,0.039568
2,0.040203
1,0.038118
2,0.037677
1,0.044135
2,0.041144
1,0.042262
2,0.049138
1,0.035966
2,0.051694
1,0.050597
2,0.046758
1,0.041926
2,0.058273
1,0.041547
2,0.053928
1,0.048541
2,0.045213
1,0.040298
2,0.055690
1,0.038732
2,0.068969
1,0.046189
2,0.057173
1,0.043600
2,0.048892
1,0.034086
2,0.053800
1,0.052523
2,0.058573
1,0.058488
2,0.053189
1,0.043288
2,0.047360
1,0.035803
2,0.036997
1,0.034324
2,0.050471
1,0.034344
2,0.039050
1,0.036738
2,0.036553
1,0.041771
2,0.063677
1,0.042177
2,0.053907
1,0.028973
2,0.049979
1,0.002962
1,0.037002
2,0.044848
1,0.041867
2,0.036485
1,0.039361
2,0.042405
1,0.044200
2,0.034437
1,0.042825
2,0.040979
1,0.039155
2,0.061333
1,0.049410
2,0.053090
1,0.049793
2,0.047899
1,0.059273
2,0.061708
1,0.055154
2,0.047066
1,0.046348
2,0.062783
1,0.057344
2,0.055294
1,0.056111
2,0.059482
1,0.055943
